threshold;versione;time_slot;book_name;tipo;stato;actual_ci;forecast_time;forecast_ci;tempo_sec;co2_emessa_g
150;pattern;08:30;Orgoglio e pregiudizio;precedente;eseguito;210.0;09:00;240.0;1.3999997463542968e-06;4.083332593533366e-09
150;pattern;09:00;Don Chisciotte della Mancia;corrente;eseguito;270.0;09:30;198.0;8.452358700000332;0.031696345125001246
150;pattern;09:00;Il barone rampante;corrente;eseguito;270.0;09:30;198.0;8.392440000000533;0.031471650000001995
150;pattern;09:00;Harry Potter e la pietra filosofale;corrente;eseguito;270.0;09:30;198.0;8.476132300000245;0.03178549612500092
150;pattern;09:00;Fahrenheit 451;corrente;eseguito;270.0;09:30;198.0;8.564282399999684;0.032116058999998816
150;pattern;09:00;I promessi sposi;corrente;eseguito;270.0;09:30;198.0;8.437239299999419;0.031639647374997824
150;pattern;09:00;Delitto e castigo;precedente;eseguito;270.0;09:30;198.0;7.200000254670158e-06;2.7000000955013095e-08
150;pattern;09:00;Il cacciatore di aquiloni;precedente;eseguito;270.0;09:30;198.0;4.800000169780105e-06;1.8000000636675398e-08
150;pattern;09:00;Se questo è un uomo;precedente;eseguito;270.0;09:30;198.0;1.1799999811046291e-05;4.424999929142359e-08
150;pattern;09:00;La metamorfosi;precedente;eseguito;270.0;09:30;198.0;3.2999996619764715e-06;1.2374998732411768e-08
150;pattern;09:00;Il ritratto di Dorian Gray;precedente;eseguito;270.0;09:30;198.0;3.000000106112566e-06;1.1250000397922122e-08
150;pattern;09:30;Il vecchio e il mare;corrente;eseguito;190.0;10:00;180.0;8.464437000000544;0.022336708750001436
150;pattern;09:30;Guerra e pace;corrente;eseguito;190.0;10:00;180.0;8.423558899999989;0.02222883598611108
150;pattern;09:30;Uno, nessuno e centomila;corrente;eseguito;190.0;10:00;180.0;8.440989400000035;0.022274833138888984
150;pattern;09:30;L'ombra del vento;corrente;eseguito;190.0;10:00;180.0;8.509611500000574;0.022455919236112627
150;pattern;09:30;Cime tempestose;corrente;eseguito;190.0;10:00;180.0;8.39064479999979;0.022141979333332784
150;pattern;09:30;Don Chisciotte della Mancia;precedente;eseguito;190.0;10:00;180.0;5.500000042957254e-06;1.451388900224831e-08
150;pattern;09:30;Il barone rampante;precedente;eseguito;190.0;10:00;180.0;4.999999873689376e-06;1.3194444111124744e-08
150;pattern;09:30;Harry Potter e la pietra filosofale;precedente;eseguito;190.0;10:00;180.0;2.9000002541579306e-06;7.652778448472317e-09
150;pattern;09:30;Fahrenheit 451;precedente;eseguito;190.0;10:00;180.0;4.900000021734741e-06;1.2930555612911119e-08
150;pattern;09:30;I promessi sposi;precedente;eseguito;190.0;10:00;180.0;3.2999996619764715e-06;8.7083324413268e-09
150;pattern;10:00;Moby Dick;corrente;eseguito;175.0;10:30;145.0;8.304389599999922;0.020184280277777588
150;pattern;10:00;Il piccolo principe;corrente;eseguito;175.0;10:30;145.0;8.45564419999937;0.02055191298610958
150;pattern;10:00;Anna Karenina;corrente;eseguito;175.0;10:30;145.0;8.404084499999954;0.02042659427083322
150;pattern;10:00;Lo straniero;corrente;eseguito;175.0;10:30;145.0;8.347315300000446;0.020288613576389974
150;pattern;10:00;I miserabili;corrente;eseguito;175.0;10:30;145.0;8.31755880000037;0.0202162887500009
150;pattern;10:00;Il vecchio e il mare;precedente;eseguito;175.0;10:30;145.0;7.3999999585794285e-06;1.7986111010436113e-08
150;pattern;10:00;Guerra e pace;precedente;eseguito;175.0;10:30;145.0;2.399999175395351e-06;5.833331329085923e-09
150;pattern;10:00;Uno, nessuno e centomila;precedente;eseguito;175.0;10:30;145.0;1.499999598308932e-06;3.6458323570008766e-09
150;pattern;10:00;L'ombra del vento;precedente;eseguito;175.0;10:30;145.0;4.000000444648322e-06;9.722223302964671e-09
150;pattern;10:00;Cime tempestose;precedente;eseguito;175.0;10:30;145.0;2.6999996407539584e-06;6.562499126832538e-09
150;pattern;10:30;Alla ricerca del tempo perduto;corrente;eseguito;130.0;11:00;140.0;8.36187609999979;0.015097831847221844
150;pattern;10:30;Il grande Gatsby;corrente;eseguito;130.0;11:00;140.0;8.322672299999795;0.015027047208332962
